Context,File Name
9,32310.wav
9,69066.wav
9,10922.wav
9,91003.wav
9,7637.wav
9,74475.wav
9,34752.wav
9,43487.wav
9,89299.wav
9,89287.wav
9,37331.wav
9,89334.wav
9,45813.wav
9,7157.wav
9,65291.wav
9,70198.wav
9,50693.wav
9,80539.wav
9,44798.wav
9,65500.wav
9,23519.wav
9,48602.wav
9,4136.wav
9,65365.wav
9,65497.wav
9,36210.wav
9,87210.wav
9,49616.wav
9,89332.wav
9,90920.wav
9,29188.wav
9,77025.wav
9,88044.wav
9,79762.wav
9,75345.wav
9,35659.wav
9,52007.wav
9,11598.wav
9,64198.wav
9,76606.wav
9,88064.wav
9,10483.wav
9,65013.wav
9,63481.wav
9,30863.wav
9,91001.wav
9,78076.wav
9,73464.wav
9,78177.wav
9,31496.wav
9,32788.wav
9,11490.wav
9,78060.wav
9,40128.wav
9,85504.wav
9,54653.wav
9,85263.wav
9,12087.wav
9,30661.wav
9,3979.wav
9,65492.wav
9,65027.wav
9,79354.wav
9,46206.wav
9,11630.wav
9,35983.wav
9,8213.wav
9,78085.wav
9,74747.wav
9,40112.wav
9,81289.wav
9,90437.wav
9,71020.wav
9,8182.wav
9,7924.wav
9,59540.wav
9,5630.wav
9,11729.wav
9,5646.wav
9,32660.wav
9,7134.wav
9,65523.wav
9,33911.wav
9,41811.wav
9,80389.wav
9,11608.wav
9,8332.wav
9,85299.wav
9,11498.wav
9,69083.wav
9,24410.wav
9,51655.wav
9,23011.wav
9,28552.wav
9,7565.wav
9,34477.wav
9,34281.wav
9,27377.wav
9,30881.wav
9,3879.wav
9,6859.wav
9,49806.wav
9,11600.wav
9,77190.wav
9,64197.wav
9,27061.wav
9,34051.wav
9,20663.wav
9,84899.wav
9,32234.wav
9,91059.wav
9,78276.wav
9,84691.wav
9,78078.wav
9,89319.wav
9,10655.wav
9,22782.wav
9,37335.wav
9,85275.wav
9,7132.wav
9,81929.wav
9,85284.wav
9,10890.wav
9,57759.wav
9,85077.wav
9,65289.wav
9,40407.wav
9,81227.wav
9,78125.wav
9,4453.wav
9,46128.wav
9,5846.wav
9,57933.wav
9,21179.wav
9,5346.wav
9,11293.wav
9,81313.wav
9,90778.wav
9,32548.wav
9,66238.wav
9,6878.wav
9,70181.wav
9,88022.wav
9,85119.wav
9,40408.wav
9,7108.wav
9,57924.wav
9,67884.wav
9,40798.wav
9,90456.wav
9,7129.wav
9,90699.wav
9,76287.wav
9,88050.wav
9,85276.wav
9,71472.wav
9,7847.wav
9,71895.wav
9,30652.wav
9,36157.wav
9,8176.wav
9,77638.wav
9,11664.wav
9,48438.wav
9,71603.wav
9,30660.wav
9,52009.wav
9,76337.wav
9,37333.wav
9,85272.wav
9,27628.wav
9,90931.wav
9,7397.wav
9,87409.wav
9,31074.wav
9,84507.wav
9,7878.wav
9,35965.wav
9,23248.wav
9,4440.wav
9,53752.wav
9,78090.wav
9,23020.wav
9,4067.wav
9,32739.wav
9,89339.wav
9,74726.wav
9,7813.wav
9,88011.wav
9,40121.wav
9,11494.wav
9,62532.wav
9,46205.wav
9,8752.wav
9,41812.wav
9,89406.wav
9,81276.wav
9,87958.wav
9,23012.wav
9,74714.wav
9,89866.wav
9,84704.wav
9,85295.wav
9,91038.wav
9,90924.wav
9,88040.wav
9,24411.wav
9,45811.wav
9,89288.wav
9,11491.wav
9,21062.wav
9,72096.wav
9,88027.wav
9,72590.wav
9,87195.wav
9,7077.wav
9,90195.wav
9,77662.wav
9,50755.wav
9,4866.wav
9,89354.wav
9,85311.wav
9,78055.wav
9,5046.wav
9,11605.wav
9,60634.wav
9,46078.wav
9,53684.wav
9,85144.wav
9,87959.wav
9,44775.wav
9,8207.wav
9,46069.wav
9,23247.wav
9,19953.wav
9,71670.wav
9,6755.wav
9,11500.wav
9,81290.wav
9,84859.wav
9,65188.wav
9,10666.wav
9,90559.wav
9,39253.wav
9,9085.wav
9,30914.wav
9,7557.wav
9,4127.wav
9,85261.wav
9,85294.wav
9,73266.wav
9,85502.wav
9,81310.wav
9,50689.wav
9,41817.wav
9,80980.wav
9,89327.wav
9,80050.wav
9,77708.wav
9,53311.wav
9,65122.wav
9,27636.wav
9,75925.wav
9,71720.wav
9,23019.wav
9,88016.wav
9,66523.wav
9,30710.wav
9,81332.wav
9,7159.wav
9,37363.wav
9,5214.wav
9,36198.wav
9,89609.wav
9,5642.wav
9,42898.wav
9,8204.wav
9,34897.wav
9,80407.wav
9,34256.wav
9,32233.wav
9,23246.wav
9,90800.wav
9,81661.wav
9,76285.wav
9,10108.wav
9,89291.wav
9,81030.wav
9,62194.wav
9,3736.wav
9,90798.wav
9,65009.wav
9,65011.wav
9,48857.wav
9,85174.wav
9,5052.wav
9,65123.wav
9,29722.wav
9,86387.wav
9,35966.wav
11,1426.wav
11,18038.wav
11,45392.wav
11,76682.wav
11,63825.wav
11,3138.wav
11,8705.wav
11,3302.wav
11,10095.wav
11,74067.wav
11,64099.wav
11,16269.wav
11,19443.wav
11,13030.wav
11,87458.wav
11,86931.wav
11,34734.wav
11,34797.wav
11,18956.wav
11,30197.wav
11,36683.wav
11,20504.wav
11,34578.wav
11,88425.wav
11,76566.wav
11,79191.wav
11,35426.wav
11,68361.wav
11,30239.wav
11,10458.wav
11,14267.wav
11,7537.wav
11,19122.wav
11,61775.wav
11,83128.wav
11,31961.wav
11,15026.wav
11,10906.wav
11,40431.wav
11,11713.wav
11,26031.wav
11,70908.wav
11,57086.wav
11,46247.wav
11,19853.wav
11,87285.wav
11,48065.wav
11,16043.wav
11,16704.wav
11,71623.wav
11,68370.wav
11,54070.wav
11,90461.wav
11,68973.wav
11,49556.wav
11,47397.wav
11,692.wav
11,6286.wav
11,65564.wav
11,23098.wav
11,16473.wav
11,64620.wav
11,33643.wav
11,34627.wav
11,16752.wav
11,81039.wav
11,8016.wav
11,57851.wav
11,6105.wav
11,16490.wav
11,46391.wav
11,59422.wav
11,25781.wav
11,42471.wav
11,70894.wav
11,67327.wav
11,68245.wav
11,24353.wav
11,5963.wav
11,89793.wav
11,62782.wav
11,90465.wav
11,56162.wav
11,70485.wav
11,15161.wav
11,23348.wav
11,6913.wav
11,17860.wav
11,13677.wav
11,48449.wav
11,75950.wav
11,52356.wav
11,45398.wav
11,47376.wav
11,79675.wav
11,26164.wav
11,35500.wav
11,78762.wav
11,39777.wav
11,1612.wav
11,15675.wav
11,35181.wav
11,19236.wav
11,35762.wav
11,5127.wav
11,8578.wav
11,77951.wav
11,33444.wav
11,55220.wav
11,22369.wav
11,5945.wav
11,54715.wav
11,20373.wav
11,35255.wav
11,27049.wav
11,15706.wav
11,11770.wav
11,18171.wav
11,34416.wav
11,87911.wav
11,30230.wav
11,14956.wav
11,84947.wav
11,19396.wav
11,35293.wav
11,24069.wav
11,88630.wav
11,67397.wav
11,17516.wav
11,79627.wav
11,59535.wav
11,27631.wav
11,6311.wav
11,40579.wav
11,14449.wav
11,29011.wav
11,37222.wav
11,36392.wav
11,34878.wav
11,41977.wav
11,25393.wav
11,34887.wav
11,11437.wav
11,33264.wav
11,14458.wav
11,16225.wav
11,29606.wav
11,30255.wav
11,77281.wav
11,75680.wav
11,63368.wav
11,22866.wav
11,67844.wav
11,64982.wav
11,68198.wav
11,33808.wav
11,607.wav
11,22272.wav
11,58245.wav
11,32468.wav
11,56505.wav
11,17836.wav
11,62476.wav
11,17340.wav
11,29462.wav
11,3454.wav
11,4076.wav
11,1927.wav
11,7863.wav
11,37713.wav
11,32815.wav
11,33301.wav
11,14000.wav
11,34663.wav
11,32801.wav
11,33446.wav
11,13708.wav
11,64669.wav
11,7651.wav
11,31386.wav
11,22105.wav
11,24768.wav
11,18819.wav
11,54164.wav
11,60381.wav
11,9748.wav
11,9700.wav
11,71369.wav
11,36188.wav
11,49980.wav
