Context,File Name,AudioLink,class,helper
Feeding,10006.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10006.wav,0,0.928111525
Feeding,10034.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10034.wav,0,0.050933458
Feeding,10035.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10035.wav,0,0.682700859
Feeding,10057.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10057.wav,0,0.962511469
Feeding,10076.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10076.wav,0,0.584893908
Feeding,10077.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10077.wav,0,0.808239762
Feeding,10081.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10081.wav,0,0.218107667
Feeding,10198.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10198.wav,0,0.179755836
Feeding,10206.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10206.wav,0,0.479900449
Feeding,10208.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10208.wav,0,0.205532275
Feeding,10215.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10215.wav,0,0.210042529
Feeding,10352.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10352.wav,0,0.463796192
Feeding,10372.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10372.wav,0,0.065190359
Feeding,10373.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10373.wav,0,0.668535257
Feeding,10374.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10374.wav,0,0.376176229
Feeding,10375.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10375.wav,0,0.320975196
Feeding,10378.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10378.wav,0,0.338448497
Feeding,10417.wav,C:\Users\zbgbmf\Documents\AI\egyptian_fruit_bats_long\audio_select\10417.wav,0,0.16295189
